key,text
ui.ladder,Ladder
ui.premise,{name} still fights on Floor {floor}. Every kill becomes your Soul.
ui.premise.empty,Nothing of yours holds the dungeon yet.
ui.tip.soul,What your dead have earned for you. Spend it in the Guild and the Séance.
ui.tip.per_hour,What the whole tower earns each hour — whether the game is open or not.
ui.tip.reach,The deepest floor a new hero is allowed to start from.
ui.tip.floor,Floor {floor} spawns {spawn} kills an hour. Your ghosts take {taken} of them.
ui.tip.floor_empty,Floor {floor} spawns {spawn} kills an hour. Nothing of yours stands here.
ui.hint.wait,Your dead keep earning while the game is closed. Come back and spend it.
ui.hint.spend,You have Soul to spend — open the Guild or the Séance.
ui.descend,Descend
ui.run.continue,Continue
ui.run.bank,Bank the run
ui.run.over,The run is over.
ui.run.floor,Floor {floor}
ui.run.floor_biome,Floor {floor} · {biome}
ui.run.phase.descent,Descending
ui.run.phase.node,Choose a path
ui.run.phase.fight,Fight
ui.run.phase.reward,Take a card
ui.run.phase.event,An event
ui.run.phase.rest,Rest
ui.run.phase.shop,Shop
ui.run.phase.exit,Floor cleared
ui.node.fight,Fight
ui.node.elite,Elite
ui.node.boss,Boss
ui.node.event,Event
ui.node.rest,Rest
ui.node.shop,Shop
ui.node.exit,Exit
ui.node.enter,Enter
status.poison.name,Poison
status.bleed.name,Bleed
status.burn.name,Burn
status.weak.name,Weak
status.vulnerable.name,Vulnerable
status.might_buff.name,Might
status.wit_buff.name,Wit
status.thorns.name,Thorns
status.regen.name,Regen
status.vigil.name,Vigil
status.knell.name,Knell
ui.fight.end_turn,End turn
ui.fight.energy,Energy
ui.fight.block,Block
ui.fight.draw,Draw
ui.fight.discard,Discard
ui.fight.turn,Turn {turn}
ui.fight.pick_target,Choose a target
ui.fight.intent.buff,Strengthens itself
ui.fight.intent.debuff,Weakens you
ui.fight.intent.summon,Calls for help
ui.fight.intent.unknown,Unknown
ui.fight.slain,Slain
ui.coin,Coin
ui.choice.skip,Take nothing
ui.choice.leave,Leave
ui.choice.rest_heal,Rest and heal {amount}
ui.choice.rest_upgrade,Sharpen {card}
ui.choice.remove,Burn {card}
ui.exit.title,Floor {floor} cleared
ui.exit.here,A ghost left here earns
ui.exit.next,A ghost on the next floor earns
ui.exit.survival,Chance you survive the next floor
ui.exit.pending,Reckoning...
ui.exit.push,Push deeper
ui.exit.retreat,Retreat and mend
ui.exit.watch,Take the Watch
ui.exit.watch_locked,Take the Watch — locked until your first death
ui.epitaph.stands,Still stands on Floor {floor}
ui.epitaph.banked,Soul brought home
ui.epitaph.rite,Next time — take the watch before you fall.
ui.epitaph.dismiss,Leave them to it
ui.descent.offer,You skipped Floor {floor}. Take something from it.
ui.card.cost_x,X
ui.fight.your_turn,Your turn
ui.fight.enemy_turn,They move
ui.fight.becoming,If you fall here
ui.fight.yield_here,this floor pays
ui.fight.blocked,Blocked
ui.fight.watching,{count} of your dead watch this floor
ui.use.table,Use the upgrade table
ui.use.circle,Step into the seance circle
ui.use.desk,Read the hero ledger
ui.use.well,Look down the well
ui.use.close,Back
ui.menu.paused,Paused
ui.menu.resume,Resume
ui.menu.options,Options
ui.menu.abandon,Abandon the run
ui.menu.quit,Quit to desktop
ui.menu.back,Back
ui.options.sensitivity,Mouse sensitivity
ui.options.invert_y,Invert look
ui.options.fov,Field of view
ui.options.volume,Volume
ui.options.fullscreen,Fullscreen
ui.hint.close,Esc to close
ui.run.rooms_left,{n} rooms still stir
ui.run.one_room_left,One room still stirs
ui.run.stairs_open,The stairs are open
ui.menu.title,Ghost Guild
ui.menu.continue,Continue
ui.menu.new,New guild
rule.strike_first.name,Strike first
rule.strike_first.text,Damage over guard. Kill it before it swings.
rule.hold_the_line.name,Hold the line
rule.hold_the_line.text,"Guard first, and never take a blow you could have stopped."
rule.finish_the_wounded.name,Finish the wounded
rule.finish_the_wounded.text,One dead enemy beats two hurt ones.
rule.spend_everything.name,Spend everything
rule.spend_everything.text,Energy left at the end of a turn is energy wasted.
rule.save_your_strength.name,Save your strength
rule.save_your_strength.text,Hold energy back. Some cards are worth waiting for.
rule.poison_before_blades.name,Poison before blades
rule.poison_before_blades.text,Let it rot. Strike only when there is nothing left to apply.
rule.break_them_first.name,Break them first
rule.break_them_first.text,Weaken and expose before striking.
rule.powers_first.name,Powers first
rule.powers_first.text,Set up early. A fight is won on the first turn.
rule.draw_before_striking.name,Draw before striking
rule.draw_before_striking.text,Cards in hand before blows landed.
rule.nurse_the_wound.name,Nurse the wound
rule.nurse_the_wound.text,Stay whole. Healing is worth more than a hit.
rule.trade_blood_for_ground.name,Trade blood for ground
rule.trade_blood_for_ground.text,Take the hit. Give a worse one back.
rule.block_only_against_lethal.name,Block only against lethal
rule.block_only_against_lethal.text,"Guard exactly what is coming, and not one point more."
ui.watch.title,How will they fight?
ui.watch.hint,"Up to three, in order. The first weighs heaviest."
ui.watch.confirm,Take the watch
ui.watch.back,Back
ui.watch.none,No orders. They will fight as anyone would.
ui.watch.order,They will fight by: {rules}
ui.ghost.doctrine,Fights by: {rules}
upgrade.auto_draft.name,Standing Orders
upgrade.auto_draft.text,Descent picks resolve themselves by your priority rules.
upgrade.expedition.name,Expeditions
upgrade.expedition.text,The guild sends a hero down on its own. They take the watch where they can hold.
upgrade.expedition_slots.name,A Larger Guild
upgrade.expedition_slots.text,One more expedition in the field at a time.
upgrade.expedition_speed.name,Sure Footing
upgrade.expedition_speed.text,Expeditions travel faster.
epitaph.expedition,"{name} was sent down, and holds Floor {floor}"
ui.expedition.title,Expeditions
ui.expedition.send,Send
ui.expedition.none,An empty slot
ui.expedition.away,{name} is descending to Floor {floor}
ui.expedition.returns,takes the watch in {time}
ui.expedition.returned,{name} holds Floor {floor}
ui.offline.expeditions,Expeditions returned
biome.fungal_deep.name,The Fungal Deep
enemy.spore_hound.name,Spore Hound
enemy.rot_grub.name,Rot Grub
enemy.bloom_wretch.name,Bloom Wretch
enemy.mycelial_husk.name,Mycelial Husk
enemy.cap_thrower.name,Cap Thrower
enemy.thorn_polyp.name,Thorn Polyp
enemy.flesh_weaver.name,Flesh Weaver
enemy.deep_lurker.name,Deep Lurker
enemy.sporemother.name,Sporemother
enemy.the_bloom.name,The Bloom
card.spore_cloud.name,Spore Cloud
card.spore_cloud.text,Apply {0} Poison to all enemies.
card.cutting_fungus.name,Cutting Fungus
card.cutting_fungus.text,Deal {0} damage. Apply {1} Poison.
card.mycelium.name,Mycelium
card.mycelium.text,Gain {0} Block and {1} Regen.
card.gut_hook.name,Gut Hook
card.gut_hook.text,Deal {0} damage. Apply {1} Vulnerable.
card.deep_roots.name,Deep Roots
card.deep_roots.text,Draw {0}. Gain {1} energy. Exhaust.
card.rupture.name,Rupture
card.rupture.text,Deal {0} damage. Apply {1} Poison.
card.chitin_plate.name,Chitin Plate
card.chitin_plate.text,Gain {0} Block and {1} Thorns.
card.harvest.name,Harvest
card.harvest.text,Draw {0}. Heal {1}.
card.rotbloom.name,Rotbloom
card.rotbloom.text,Gain {0} Knell.
card.the_deep_breath.name,The Deep Breath
card.the_deep_breath.text,Heal {0}. Gain {1} Wit. Exhaust.
class.hexer.name,Hexer
relic.hexers_thimble.name,Hexer's Thimble
relic.hexers_thimble.text,Enemies start every fight with 3 Poison.
card.wither.name,Wither
card.wither.text,Deal {0} damage. Apply {1} Poison.
card.flinch.name,Flinch
card.flinch.text,Gain {0} Block.
card.ill_wish.name,Ill Wish
card.ill_wish.text,Apply {0} Weak.
card.creeping_rot.name,Creeping Rot
card.creeping_rot.text,Apply {0} Poison.
card.hex_bolt.name,Hex Bolt
card.hex_bolt.text,Deal {0} damage. Apply {1} Weak.
card.sap_will.name,Sap Will
card.sap_will.text,Apply {0} Weak to all enemies.
card.bitter_draught.name,Bitter Draught
card.bitter_draught.text,Gain {0} Block. Draw {1}.
card.evil_eye.name,Evil Eye
card.evil_eye.text,Apply {0} Vulnerable. Draw {1}.
card.bloodletting.name,Bloodletting
card.bloodletting.text,Deal {0} damage twice. Gain {1} Bleed.
card.miasma.name,Miasma
card.miasma.text,Apply {0} Poison to all enemies.
card.witchs_mark.name,Witch's Mark
card.witchs_mark.text,Deal {0} damage. Apply {1} Poison and {2} Vulnerable.
card.cold_comfort.name,Cold Comfort
card.cold_comfort.text,Gain {0} Block and {1} Regen.
card.black_ledger.name,Black Ledger
card.black_ledger.text,Draw {0}. Gain {1} Wit. Exhaust.
card.the_long_illness.name,The Long Illness
card.the_long_illness.text,Gain {0} Knell.
card.unmaking.name,Unmaking
card.unmaking.text,Deal {0} damage. Apply {1} Poison.
ui.class.locked,Opens when one of your dead holds {biome}.
ui.class.current,Who you are.
ui.class.swap,Send this one down instead. Only before you descend.
biome.the_kiln.name,The Kiln
enemy.cinder_hound.name,Cinder Hound
enemy.slag_crawler.name,Slag Crawler
enemy.ember_wisp.name,Ember Wisp
enemy.furnace_drone.name,Furnace Drone
enemy.clay_sentinel.name,Clay Sentinel
enemy.glass_shrike.name,Glass Shrike
enemy.kiln_warden.name,Kiln Warden
enemy.molten_husk.name,Molten Husk
enemy.the_bellows.name,The Bellows
enemy.the_first_flame.name,The First Flame
card.hammer_blow.name,Hammer Blow
card.hammer_blow.text,Deal {0} damage.
card.firebrand.name,Firebrand
card.firebrand.text,Deal {0} damage. Apply {1} Burn.
card.slake.name,Slake
card.slake.text,Gain {0} Block. Heal {1}.
card.quench.name,Quench
card.quench.text,Gain {0} Block and {1} Regen.
card.pry_bar.name,Pry Bar
card.pry_bar.text,Deal {0} damage. Apply {1} Vulnerable.
card.bellows_breath.name,Bellows Breath
card.bellows_breath.text,Apply {0} Burn to all enemies.
card.anvil_stance.name,Anvil Stance
card.anvil_stance.text,Gain {0} Block and {1} Thorns.
card.white_heat.name,White Heat
card.white_heat.text,Gain {0} Might.
card.smiths_eye.name,Smith's Eye
card.smiths_eye.text,Draw {0}. Gain {1} energy. Exhaust.
card.sunder.name,Sunder
card.sunder.text,Deal {0} damage. Apply {1} Vulnerable.
ui.hall.title,The Hall of Legends
ui.hall.blessing,What every Legend adds to your dead and to your hands
ui.hall.legends,The Merged
ui.hall.none,Nobody has been merged yet.
ui.hall.rite,Perform the rite
ui.hall.needed,The rite needs one of your own standing on Floor {floor}. The deepest stands on {standing}.
ui.hall.cost,"It takes all {ghosts} of your dead and every Soul you have ({soul}). It keeps your reach, your upgrades and your unlocks."
ui.hall.legend,"{name}, cycle {cycle} — +{bonus}, {trait}"
ui.hall.and_more,and {count} more
ui.use.hall,Read the Hall of Legends
tag.bone.name,Bone
tag.shield.name,Shield
tag.poison.name,Poison
tag.ember.name,Ember
tag.draw.name,Draw
tag.holy.name,Holy
tag.weak.name,Weak
mutation.thorned.name,Thorned
mutation.thorned.text,Every enemy starts with 3 Thorns.
mutation.hardened.name,Hardened
mutation.hardened.text,Every enemy starts with 2 Might.
mutation.the_cold.name,The Cold
mutation.the_cold.text,You start every fight with 2 Weak.
mutation.the_rot.name,The Rot
mutation.the_rot.text,You start every fight with 3 Poison.
mutation.the_dark.name,The Dark
mutation.the_dark.text,You draw one card fewer each turn.
mutation.the_weight.name,The Weight
mutation.the_weight.text,You have one less energy each turn.
mutation.second_wind.name,Second Wind
mutation.second_wind.text,You have one more energy each turn.
mutation.the_kindling.name,The Kindling
mutation.the_kindling.text,You start every fight with 2 Burn.
mutation.the_swollen.name,The Swollen
mutation.the_swollen.text,Every enemy has far more health.
ui.run.floor_tier,Floor {floor} · {biome} · Tier {tier}
ui.run.mutation,{name} — {text}
trait.poison.name,The Rotted
trait.poison.text,Your Poison cards apply 1 more stack.
trait.ember.name,The Kindled
trait.ember.text,Your Ember cards apply 1 more stack.
trait.weak.name,The Unmaking
trait.weak.text,Your Weak cards apply 1 more stack.
trait.bone.name,The Bonebreaker
trait.bone.text,Your Bone cards deal 2 more damage.
trait.holy.name,The Consecrated
trait.holy.text,Your Holy cards deal 3 more damage.
trait.shield.name,The Unyielding
trait.shield.text,Your Shield cards give 2 more Block.
trait.draw.name,The Far-Sighted
trait.draw.text,Your Draw cards draw 1 more card.
ui.hall.carry,Carry into the descent
ui.hall.carried,Carried
ui.hall.carrying,{name} walks with you.
ui.hall.carry_none,No Legend walks with you.
ui.hall.invoke_hint,One Legend may be invoked per descent. Its trait is yours for the run.
ui.haunting,"Floor {floor} is haunted: {count} {tag} dead, +{bonus} spawn."
ui.haunting.none,Three of your dead sharing an archetype haunt their floor.
ui.tend.sharpen,Sharpen
ui.tend.relic,Arm
chapter.deeper_roots.name,Deeper Roots
chapter.deeper_roots.text,Every cycle's Founder stands three floors deeper.
chapter.breeding_dark.name,The Breeding Dark
chapter.breeding_dark.text,Every floor spawns 10% more.
chapter.old_blood.name,Old Blood
chapter.old_blood.text,Keep a tenth of your Soul through the rite.
chapter.depth_seals.name,Depth Seals
chapter.depth_seals.text,"Set a Seal before a descent: harder below, and your dead are worth more."
ui.chronicle.title,The Chronicle
ui.chronicle.locked,The Chronicle opens at {count} Legends. You have {have}.
ui.chronicle.ink,Ink
ui.chronicle.write,Write
ui.chronicle.written,Written
ui.chronicle.level,Level {level} of {max}
ui.seal.none,No Seal
ui.seal.set,"Seal {seal}: enemies +{harder}, your dead +{richer}"
ui.seal.locked,Depth Seals are written in the Chronicle.
