revision,seed_set,seed_base,seed_stride,engine_hash,route,profile,policy,n,deaths,first_fight_wins,entry_floor,checkpoint_floor,checkpoint_loss_n,checkpoint_loss_mean,checkpoint_loss_p10,checkpoint_loss_median,checkpoint_loss_p90,opening_normal_turns_n,opening_normal_turns_mean,opening_normal_turns_p10,opening_normal_turns_median,opening_normal_turns_p90,depth_n,depth_mean,depth_p10,depth_median,depth_p90,gross_damage_mean,healing_mean,blocked_mean,enemy_actions_mean,coin_spent_mean
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,defense_aware,30,30,16,31,34,0,,,,,0,,,,,30,31.0,31,31,31,87.7333333333333,1.3,140.666666666667,11.2,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,lookahead,30,30,17,31,34,0,,,,,0,,,,,30,31.1,31,31,31,90.9666666666667,4.3,151.1,11.9666666666667,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,attack_first,30,30,28,31,34,0,,,,,1,3.0,3,3,3,30,31.5,31,31,32,95.2333333333333,7.23333333333333,46.0,5.63333333333333,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,defense_aware,30,30,30,31,34,5,0.536708860759494,0.164556962025316,0.582278481012658,0.734177215189873,109,6.41284403669725,5,6,8,30,33.8666666666667,32,34,36,117.666666666667,28.8666666666667,1022.56666666667,49.6333333333333,75.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,lookahead,30,30,30,31,34,12,0.611814345991561,0.417721518987342,0.632911392405063,0.746835443037975,125,4.8,3,5,6,30,34.2333333333333,32,34,35,116.4,29.6666666666667,816.6,40.6,75.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,attack_first,30,30,30,1,4,19,0.562406015037594,0.357142857142857,0.557142857142857,0.742857142857143,163,3.04294478527607,2,3,4,30,5.26666666666667,4,5,7,94.8333333333333,22.4333333333333,47.8333333333333,28.1,53.3333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,defense_aware,30,30,30,1,4,30,0.34047619047619,0.114285714285714,0.328571428571429,0.557142857142857,180,4.06111111111111,3,4,6,30,7.33333333333333,6,7,9,107.166666666667,34.2333333333333,265.366666666667,66.8333333333333,133.333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,lookahead,30,30,30,1,4,30,0.245238095238095,0.0285714285714286,0.242857142857143,0.442857142857143,180,3.37777777777778,2,3,5,30,8.53333333333333,7,8,10,111.166666666667,37.2333333333333,228.233333333333,60.8666666666667,195.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,attack_first,30,30,30,1,4,28,0.563111545988258,0.232876712328767,0.506849315068493,0.958904109589041,179,2.73184357541899,2,3,3,30,6.56666666666667,5,7,8,105.966666666667,30.9,55.1333333333333,30.1333333333333,110.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,defense_aware,30,30,30,1,4,30,0.191780821917808,0.0,0.150684931506849,0.397260273972603,180,3.53333333333333,2,3,5,30,8.4,7,8,10,112.3,36.4,284.366666666667,67.6333333333333,170.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,lookahead,30,30,30,1,4,30,0.141552511415525,0.0,0.123287671232877,0.246575342465753,180,2.77777777777778,2,3,4,30,9.43333333333333,8,10,10,118.366666666667,39.6666666666667,234.166666666667,59.9333333333333,220.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,attack_first,30,30,30,1,4,9,0.728395061728395,0.238095238095238,0.793650793650794,0.888888888888889,130,2.66923076923077,2,3,3,30,4.1,3,4,6,78.7,13.3666666666667,9.3,15.5,33.3333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,defense_aware,30,30,30,1,4,30,0.486243386243386,0.19047619047619,0.46031746031746,0.793650793650794,180,3.11111111111111,3,3,4,30,7.0,5,7,9,100.6,35.5666666666667,131.766666666667,40.6666666666667,111.666666666667
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,lookahead,30,30,30,1,4,30,0.435449735449736,0.142857142857143,0.412698412698413,0.746031746031746,180,3.02222222222222,2,3,4,30,7.66666666666667,6,7,10,103.333333333333,37.2,139.933333333333,42.9,143.333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,attack_first,30,30,1,31,34,0,,,,,0,,,,,30,31.0,31,31,31,91.1666666666667,0.0,6.36666666666667,4.63333333333333,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,defense_aware,30,30,16,31,34,0,,,,,0,,,,,30,31.0,31,31,31,87.7333333333333,1.3,140.666666666667,11.2,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,lookahead,30,30,17,31,34,0,,,,,0,,,,,30,31.1,31,31,31,90.9666666666667,4.3,151.1,11.9666666666667,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,attack_first,30,30,28,31,34,0,,,,,1,3.0,3,3,3,30,31.5,31,31,32,95.2333333333333,7.23333333333333,46.0,5.63333333333333,0.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,defense_aware,30,30,30,31,34,5,0.49620253164557,0.164556962025316,0.493670886075949,0.582278481012658,110,6.47272727272727,5,6,8,30,33.7,32,34,36,117.9,27.2333333333333,1043.3,50.2666666666667,75.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,lookahead,30,30,30,31,34,11,0.583429228998849,0.291139240506329,0.468354430379747,0.987341772151899,124,4.75,3,5,6,30,33.9333333333333,32,34,35,117.2,27.1666666666667,793.133333333333,39.2333333333333,65.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,attack_first,100,100,100,1,4,79,0.666003616636528,0.442857142857143,0.657142857142857,0.9,570,3.03859649122807,2,3,4,100,5.47,4,5,7,87.92,15.55,45.59,26.06,55.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,defense_aware,100,100,100,1,4,100,0.354,0.157142857142857,0.342857142857143,0.585714285714286,600,4.16833333333333,3,4,6,100,7.24,6,7,9,91.05,19.0,245.9,61.96,98.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,lookahead,100,100,100,1,4,100,0.277714285714286,0.1,0.271428571428571,0.442857142857143,600,3.45,2,3,5,100,8.04,7,8,9,93.56,20.63,192.65,52.48,118.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,attack_first,100,100,100,1,4,98,0.558848196812972,0.301369863013699,0.547945205479452,0.835616438356164,598,2.71571906354515,2,3,3,100,6.47,5,7,8,94.22,18.29,50.8,26.24,80.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,defense_aware,100,100,100,1,4,100,0.224520547945205,0.041095890410959,0.205479452054795,0.410958904109589,600,3.59666666666667,2,3,5,100,8.11,7,8,10,98.34,22.78,262.31,62.28,117.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,lookahead,100,100,100,1,4,100,0.208356164383562,0.041095890410959,0.219178082191781,0.342465753424658,600,2.90166666666667,2,3,4,100,9.0,8,9,10,102.36,25.73,202.45,51.43,150.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,attack_first,100,100,100,1,4,47,0.724079702803107,0.46031746031746,0.746031746031746,0.952380952380952,473,2.61945031712474,2,3,3,100,4.5,3,4,6,77.62,12.38,11.76,15.39,35.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,defense_aware,100,100,100,1,4,94,0.461499493414387,0.206349206349206,0.46031746031746,0.746031746031746,593,3.21079258010118,3,3,4,100,6.66,5,7,8,85.39,19.96,132.09,36.98,86.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,lookahead,100,100,100,1,4,100,0.436349206349207,0.158730158730159,0.412698412698413,0.73015873015873,600,3.08166666666667,2,3,4,100,7.32,5,7,9,87.16,21.18,134.67,37.99,102.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,attack_first,100,100,1,31,34,0,,,,,0,,,,,100,31.0,31,31,31,92.16,0.03,7.2,4.6,0.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,defense_aware,100,100,41,31,34,0,,,,,0,,,,,100,31.05,31,31,31,88.94,2.79,129.96,10.57,0.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,lookahead,100,100,53,31,34,0,,,,,0,,,,,100,31.09,31,31,31,90.26,3.16,133.57,11.06,0.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,attack_first,100,100,100,1,4,56,0.670408163265306,0.457142857142857,0.642857142857143,0.928571428571429,535,3.00373831775701,2,3,4,100,4.83,3,5,6,87.67,14.98,43.08,25.22,49.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,defense_aware,100,100,100,1,4,98,0.420408163265306,0.171428571428571,0.4,0.685714285714286,600,4.09333333333333,2,4,6,100,6.9,5,7,8,98.84,26.34,265.81,65.25,107.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,lookahead,100,100,100,1,4,100,0.329142857142857,0.0857142857142857,0.314285714285714,0.557142857142857,600,3.38833333333333,2,3,5,100,8.11,7,8,10,104.81,31.83,216.69,58.09,144.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,attack_first,100,100,100,1,4,87,0.594709494567785,0.287671232876712,0.602739726027397,0.863013698630137,590,2.67457627118644,2,3,3,100,6.07,4,6,7,97.98,22.06,49.67,27.24,80.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,defense_aware,100,100,100,1,4,100,0.267534246575343,0.0684931506849316,0.232876712328767,0.493150684931507,600,3.51333333333333,2,3,5,100,8.15,7,8,10,109.47,33.37,295.09,68.89,145.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,lookahead,100,100,100,1,4,100,0.231917808219178,0.0273972602739726,0.232876712328767,0.424657534246575,600,2.86666666666667,2,3,4,100,9.18,8,9,10,115.29,37.77,226.03,58.02,185.5
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,attack_first,100,100,100,1,4,34,0.715686274509804,0.476190476190476,0.698412698412698,0.920634920634921,443,2.62302483069977,2,3,3,100,4.09,3,4,6,78.86,12.93,11.13,15.52,31.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,defense_aware,100,100,100,1,4,89,0.479400749063671,0.19047619047619,0.46031746031746,0.793650793650794,592,3.14358108108108,2,3,4,100,6.58,4,7,9,93.57,28.59,136.65,39.68,101.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,lookahead,100,100,100,1,4,96,0.446428571428572,0.126984126984127,0.444444444444444,0.714285714285714,600,3.03666666666667,2,3,4,100,7.33,5,7,10,99.35,32.68,142.64,41.78,132.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,attack_first,100,100,1,31,34,0,,,,,0,,,,,100,31.0,31,31,31,92.16,0.03,7.2,4.6,0.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,defense_aware,100,100,41,31,34,0,,,,,0,,,,,100,31.05,31,31,31,88.94,2.79,129.96,10.57,0.0
clarity-2026-09-10-r4,held_out,970003,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,lookahead,100,100,53,31,34,0,,,,,0,,,,,100,31.09,31,31,31,90.26,3.16,133.57,11.06,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,attack_first,100,100,100,1,4,72,0.657539682539683,0.385714285714286,0.657142857142857,0.928571428571429,554,3.18050541516245,2,3,4,100,5.21,4,5,7,86.51,14.71,48.05,26.14,54.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,defense_aware,100,100,100,1,4,100,0.337142857142857,0.142857142857143,0.342857142857143,0.514285714285714,600,4.45666666666667,3,4,6,100,7.22,6,7,8,91.3,19.32,268.53,65.37,91.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,lookahead,100,100,100,1,4,100,0.274285714285714,0.0857142857142857,0.285714285714286,0.442857142857143,600,3.59666666666667,2,3,5,100,8.08,7,8,10,93.67,20.71,216.37,57.02,109.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,attack_first,100,100,100,1,4,93,0.540433053468847,0.315068493150685,0.52054794520548,0.794520547945206,591,2.8087986463621,2,3,4,100,6.32,5,6,7,94.27,18.56,54.65,27.01,72.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,defense_aware,100,100,100,1,4,100,0.215890410958904,0.041095890410959,0.205479452054795,0.383561643835616,600,3.75666666666667,2,4,5,100,8.08,7,8,10,95.76,20.13,282.7,64.84,111.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,lookahead,100,100,100,1,4,100,0.200821917808219,0.0547945205479452,0.191780821917808,0.342465753424658,600,2.99833333333333,2,3,4,100,8.89,8,9,10,99.31,22.45,214.97,53.11,139.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,attack_first,100,100,100,1,4,40,0.711904761904762,0.444444444444444,0.714285714285714,0.968253968253968,467,2.61456102783726,2,3,3,100,4.36,3,4,6,76.55,11.66,11.15,15.0,28.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,defense_aware,100,100,100,1,4,94,0.463019250253293,0.158730158730159,0.46031746031746,0.777777777777778,592,3.15878378378378,2,3,4,100,6.63,5,7,8,84.1,18.94,130.93,36.56,76.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,lookahead,100,100,100,1,4,99,0.405964405964406,0.19047619047619,0.380952380952381,0.650793650793651,599,3.04507512520868,2,3,4,100,7.4,6,7,9,88.36,22.13,135.27,38.34,89.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,attack_first,100,100,1,31,34,0,,,,,0,,,,,100,31.0,31,31,31,91.8,0.0,7.18,4.45,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,defense_aware,100,100,38,31,34,0,,,,,0,,,,,100,31.04,31,31,31,89.1,2.62,134.72,10.67,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,lookahead,100,100,48,31,34,0,,,,,0,,,,,100,31.13,31,31,32,91.06,4.77,137.57,11.12,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,attack_first,100,100,95,31,34,0,,,,,2,3.0,3,3,3,100,31.5,31,31,32,98.37,8.9,38.46,5.51,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,defense_aware,100,100,100,31,34,15,0.524050632911392,0.139240506329114,0.481012658227848,0.89873417721519,273,6.16849816849817,4,6,8,100,33.16,32,33,35,105.65,17.99,718.12,35.59,51.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,prepared_cycle,lookahead,100,100,100,31,34,21,0.597347799879445,0.316455696202532,0.569620253164557,0.873417721518987,314,4.49363057324841,3,4,6,100,33.44,32,33,35,108.03,19.68,565.89,29.17,64.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,attack_first,100,100,100,1,4,53,0.61644204851752,0.314285714285714,0.614285714285714,0.871428571428571,512,3.15625,2,3,4,100,4.72,3,5,6,88.68,15.16,45.03,25.63,46.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,defense_aware,100,100,100,1,4,98,0.403644314868805,0.142857142857143,0.414285714285714,0.642857142857143,598,4.42976588628763,3,4,6,100,6.97,6,7,8,99.99,27.32,286.78,68.71,104.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,fresh_sexton,lookahead,100,100,100,1,4,100,0.304714285714286,0.1,0.3,0.471428571428571,600,3.54166666666667,2,3,5,100,8.03,7,8,10,104.03,30.96,244.68,62.85,131.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,attack_first,100,100,100,1,4,80,0.551369863013698,0.315068493150685,0.52054794520548,0.849315068493151,587,2.78534923339012,2,3,3,100,5.82,4,6,7,96.8,20.09,52.52,27.34,66.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,defense_aware,100,100,100,1,4,100,0.242739726027397,0.041095890410959,0.232876712328767,0.438356164383562,600,3.725,2,4,5,100,8.12,7,8,10,106.2,30.82,311.62,71.24,131.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,early_purchases,lookahead,100,100,100,1,4,100,0.208082191780822,0.041095890410959,0.205479452054795,0.356164383561644,600,2.96833333333333,2,3,4,100,9.19,8,10,10,116.36,38.41,262.29,63.48,180.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,attack_first,100,100,100,1,4,29,0.696770662287904,0.428571428571429,0.761904761904762,0.920634920634921,433,2.61662817551963,2,3,3,100,4.06,3,4,6,77.62,12.08,11.31,15.0,21.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,defense_aware,100,100,100,1,4,89,0.476368824683432,0.158730158730159,0.444444444444444,0.777777777777778,588,3.10884353741497,2,3,4,100,6.44,4,7,8,90.49,24.9,136.57,38.76,87.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,unlocked_hexer,lookahead,100,100,100,1,4,97,0.422189494354443,0.206349206349206,0.380952380952381,0.73015873015873,598,3.0,2,3,4,100,7.49,6,7,10,97.97,32.12,148.48,42.37,113.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,attack_first,100,100,1,31,34,0,,,,,0,,,,,100,31.0,31,31,31,91.8,0.0,7.18,4.45,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,defense_aware,100,100,38,31,34,0,,,,,0,,,,,100,31.04,31,31,31,89.1,2.62,134.72,10.67,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,later_cycle,lookahead,100,100,48,31,34,0,,,,,0,,,,,100,31.13,31,31,32,91.06,4.77,137.57,11.12,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,attack_first,100,100,95,31,34,0,,,,,2,3.0,3,3,3,100,31.5,31,31,32,98.37,8.9,38.46,5.51,0.0
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,defense_aware,100,100,100,31,34,10,0.525316455696203,0.0253164556962026,0.493670886075949,0.860759493670886,266,6.19548872180451,4,6,8,100,33.02,32,33,34,108.07,18.77,728.11,35.82,55.5
clarity-2026-09-10-r4,confirmation,3000001,7919,ed1daf0bf001b61586d9930840f2f1394092c079,all,prepared_cycle,lookahead,100,100,100,31,34,15,0.613502109704641,0.341772151898734,0.645569620253165,0.936708860759494,299,4.46488294314381,3,4,6,100,33.3,32,33,35,109.77,18.95,581.93,29.76,63.0
